sci_name,animal,toxic
Arum maculatum,cat,TRUE
Arum maculatum,dog,TRUE
Arum maculatum,horse,TRUE
Kalmia poliifolia,cat,TRUE
Kalmia poliifolia,dog,TRUE
Kalmia poliifolia,horse,TRUE
Nephrolepis biserrata,cat,FALSE
Nephrolepis biserrata,dog,FALSE
Nephrolepis biserrata,horse,FALSE
Nephrolepis exalta bostoniensis,cat,FALSE
Nephrolepis exalta bostoniensis,dog,FALSE
Nephrolepis exalta bostoniensis,horse,TRUE
Beaucarnea recurvata,cat,FALSE
Beaucarnea recurvata,dog,FALSE
Beaucarnea recurvata,horse,FALSE
Nolina tuberculata,cat,FALSE
Nolina tuberculata,dog,FALSE
Nolina tuberculata,horse,FALSE
Callistemon species,cat,FALSE
Callistemon species,dog,FALSE
Callistemon species,horse,FALSE
Buxus sp.,cat,TRUE
Buxus sp.,dog,TRUE
Buxus sp.,horse,TRUE
Pteridium aquilinum,cat,TRUE
Pteridium aquilinum,dog,TRUE
Pteridium aquilinum,horse,TRUE
Pteridium aquilinum,cat,TRUE
Pteridium aquilinum,dog,TRUE
Pteridium aquilinum,horse,TRUE
Hedera helix,cat,TRUE
Hedera helix,dog,TRUE
Hedera helix,horse,TRUE
Sophronitis,cat,FALSE
Sophronitis,dog,FALSE
Sophronitis,horse,FALSE
Poinciana gilliesii,cat,TRUE
Poinciana gilliesii,dog,TRUE
Poinciana gilliesii,horse,TRUE
Coleus ampoinicus,cat,TRUE
Coleus ampoinicus,dog,TRUE
Coleus ampoinicus,horse,TRUE
Clintonia uniflora,cat,FALSE
Clintonia uniflora,dog,FALSE
Clintonia uniflora,horse,FALSE
Smilax hispida,cat,FALSE
Smilax hispida,dog,FALSE
Smilax hispida,horse,FALSE
Dichelostemma pulchellum,cat,FALSE
Dichelostemma pulchellum,dog,FALSE
Dichelostemma pulchellum,horse,FALSE
Carya laciniosa,cat,FALSE
Carya laciniosa,dog,FALSE
Carya laciniosa,horse,FALSE
Brunfelsia species,cat,TRUE
Brunfelsia species,dog,TRUE
Brunfelsia species,horse,TRUE
Aesculus spp,cat,TRUE
Aesculus spp,dog,TRUE
Aesculus spp,horse,TRUE
Fagopyrum species,cat,TRUE
Fagopyrum species,dog,TRUE
Fagopyrum species,horse,TRUE
Podocarpus macrophylla,cat,TRUE
Podocarpus macrophylla,dog,TRUE
Podocarpus macrophylla,horse,TRUE
Pinus ponderosa,cat,TRUE
Pinus ponderosa,dog,TRUE
Pinus ponderosa,horse,TRUE
Smilax rotundifolia,cat,FALSE
Smilax rotundifolia,dog,FALSE
Smilax rotundifolia,horse,FALSE
Cucumis anguria,cat,FALSE
Cucumis anguria,dog,FALSE
Cucumis anguria,horse,FALSE
Euonymus atropurpurea,cat,TRUE
Euonymus atropurpurea,dog,TRUE
Euonymus atropurpurea,horse,TRUE
Sedum morganianum,cat,FALSE
Sedum morganianum,dog,FALSE
Sedum morganianum,horse,FALSE
Ranunculus sp.,cat,TRUE
Ranunculus sp.,dog,TRUE
Ranunculus sp.,horse,TRUE
Cucurbita maxima cv buttercup,cat,FALSE
Cucurbita maxima cv buttercup,dog,FALSE
Cucurbita maxima cv buttercup,horse,FALSE
Hedychium coronarium,cat,FALSE
Hedychium coronarium,dog,FALSE
Hedychium coronarium,horse,FALSE
Iris spruria,cat,FALSE
Iris spruria,dog,FALSE
Iris spruria,horse,TRUE
Cucurbita maxima cv butterfly,cat,FALSE
Cucurbita maxima cv butterfly,dog,FALSE
Cucurbita maxima cv butterfly,horse,FALSE
Impatiens spp.,cat,FALSE
Impatiens spp.,dog,FALSE
Impatiens spp.,horse,TRUE
Calathea insignis,cat,FALSE
Calathea insignis,dog,FALSE
Calathea insignis,horse,FALSE
Caladium hortulanum,cat,TRUE
Caladium hortulanum,dog,TRUE
Caladium hortulanum,horse,TRUE
Citrus mitis,cat,TRUE
Citrus mitis,dog,TRUE
Citrus mitis,horse,TRUE
Calathea lancifolia,cat,FALSE
Calathea lancifolia,dog,FALSE
Calathea lancifolia,horse,FALSE
Maranta insignis,cat,FALSE
Maranta insignis,dog,FALSE
Maranta insignis,horse,FALSE
Calathea insignis,cat,FALSE
Calathea insignis,dog,FALSE
Calathea insignis,horse,FALSE
Hedera helix,cat,TRUE
Hedera helix,dog,TRUE
Hedera helix,horse,TRUE
Darlingtonia californica,cat,FALSE
Darlingtonia californica,dog,FALSE
Darlingtonia californica,horse,FALSE
Zantedeschia aethiopica,cat,TRUE
Zantedeschia aethiopica,dog,TRUE
Zantedeschia aethiopica,horse,TRUE
Callistemon species,cat,FALSE
Callistemon species,dog,FALSE
Callistemon species,horse,FALSE
Callistemon citrinus,cat,FALSE
Callistemon citrinus,dog,FALSE
Callistemon citrinus,horse,FALSE
Callistemon viminalis,cat,FALSE
Callistemon viminalis,dog,FALSE
Callistemon viminalis,horse,FALSE
Calochortus nuttalli,cat,FALSE
Calochortus nuttalli,dog,FALSE
Calochortus nuttalli,horse,FALSE
Calochortus luteus,cat,FALSE
Calochortus luteus,dog,FALSE
Calochortus luteus,horse,FALSE
Camellia japonica,cat,FALSE
Camellia japonica,dog,FALSE
Camellia japonica,horse,FALSE
Tsuga canadensis,cat,FALSE
Tsuga canadensis,dog,FALSE
Tsuga canadensis,horse,FALSE
Phoenix canariensis,cat,FALSE
Phoenix canariensis,dog,FALSE
Phoenix canariensis,horse,FALSE
Plectranthus coleoides,cat,FALSE
Plectranthus coleoides,dog,FALSE
Plectranthus coleoides,horse,FALSE
Hypocyrta nummularia,cat,FALSE
Hypocyrta nummularia,dog,FALSE
Hypocyrta nummularia,horse,TRUE
"Dypsis lutescens, chrysalidocarpus lutescens (alternate scientific name)",cat,FALSE
"Dypsis lutescens, chrysalidocarpus lutescens (alternate scientific name)",dog,FALSE
"Dypsis lutescens, chrysalidocarpus lutescens (alternate scientific name)",horse,TRUE
Canna generalis,cat,FALSE
Canna generalis,dog,FALSE
Canna generalis,horse,TRUE
Gloxinia perennis,cat,FALSE
Gloxinia perennis,dog,FALSE
Gloxinia perennis,horse,FALSE
Gardenia jasminoides,cat,TRUE
Gardenia jasminoides,dog,TRUE
Gardenia jasminoides,horse,TRUE
Dimorphotheca pluvialis,cat,FALSE
Dimorphotheca pluvialis,dog,FALSE
Dimorphotheca pluvialis,horse,FALSE
Streptocarpus spp.,cat,FALSE
Streptocarpus spp.,dog,FALSE
Streptocarpus spp.,horse,FALSE
Zamia furfuracea,cat,TRUE
Zamia furfuracea,dog,TRUE
Zamia furfuracea,horse,TRUE
Lobelia cardinalis,cat,TRUE
Lobelia cardinalis,dog,TRUE
Lobelia cardinalis,horse,TRUE
Dianthus caryophyllus,cat,TRUE
Dianthus caryophyllus,dog,TRUE
Dianthus caryophyllus,horse,TRUE
Ceratonia siliqua,cat,FALSE
Ceratonia siliqua,dog,FALSE
Ceratonia siliqua,horse,FALSE
Jacaranda procera,cat,FALSE
Jacaranda procera,dog,FALSE
Jacaranda procera,horse,FALSE
Tsuga caroliniana,cat,FALSE
Tsuga caroliniana,dog,FALSE
Tsuga caroliniana,horse,FALSE
